0,26
1,38
2,42
3,12
4,96
5,78
6,56
7,10
8,20
9,78
10,28
11,86
12,98
13,82
14,78
15,42
16,24
17,32
18,58
19,34
20,56
21,16
22,42
23,14
24,56
25,62
26,60
27,40
28,74
29,66
30,16
31,76
32,40
33,16
34,40
35,28
36,18
37,30
38,38
39,50
40,44
41,74
42,24
43,28
44,60
45,64
46,14
47,10
48,68
49,94
50,16
51,90
52,92
53,46
54,88
55,20
56,32
57,22
58,38
59,44
60,70
61,46
62,16
63,34
64,82
65,44
66,48
67,80
68,86
69,84
70,32
71,54
72,94
73,66
74,96
75,72
76,62
77,74
78,70
79,68
80,10
81,48
82,72
83,90
84,56
85,70
86,68
87,24
88,18
89,40
90,80
91,40
92,72
93,66
94,66
95,14
96,38
97,12
98,98
99,22
